"rules","support","confidence","lift","count"
"{milk,predator,catsize} => {type=mamifero}",0.191919191919192,1,2.475,19
"{milk,toothed,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{milk,breathes,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,tail,catsize} => {type=mamifero}",0.272727272727273,1,2.475,27
"{milk,backbone,catsize} => {type=mamifero}",0.313131313131313,1,2.475,31
"{milk,predator,toothed} => {type=mamifero}",0.202020202020202,1,2.475,20
"{milk,predator,breathes} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,predator,tail} => {type=mamifero}",0.181818181818182,1,2.475,18
"{milk,predator,backbone} => {type=mamifero}",0.212121212121212,1,2.475,21
"{milk,toothed,breathes} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,toothed,tail} => {type=mamifero}",0.343434343434343,1,2.475,34
"{milk,toothed,backbone} => {type=mamifero}",0.393939393939394,1,2.475,39
"{milk,breathes,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{milk,backbone,breathes} => {type=mamifero}",0.404040404040404,1,2.475,40
"{milk,backbone,tail} => {type=mamifero}",0.353535353535354,1,2.475,35
"{hair,predator,catsize} => {type=mamifero}",0.171717171717172,1,2.475,17
"{hair,toothed,catsize} => {type=mamifero}",0.282828282828283,1,2.475,28
"{hair,breathes,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,tail,catsize} => {type=mamifero}",0.252525252525253,1,2.475,25
"{hair,backbone,catsize} => {type=mamifero}",0.292929292929293,1,2.475,29
"{hair,predator,toothed} => {type=mamifero}",0.181818181818182,1,2.475,18
"{hair,predator,breathes} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,predator,tail} => {type=mamifero}",0.161616161616162,1,2.475,16
"{hair,predator,backbone} => {type=mamifero}",0.191919191919192,1,2.475,19
"{hair,toothed,breathes} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,toothed,tail} => {type=mamifero}",0.323232323232323,1,2.475,32
"{hair,toothed,backbone} => {type=mamifero}",0.373737373737374,1,2.475,37
"{hair,breathes,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{hair,backbone,breathes} => {type=mamifero}",0.383838383838384,1,2.475,38
"{hair,backbone,tail} => {type=mamifero}",0.333333333333333,1,2.475,33
"{toothed,breathes,catsize} => {type=mamifero}",0.303030303030303,1,2.475,30
"{eggs,aquatic,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,toothed,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,fins,legs=0,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,backbone,fins,legs=0} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,toothed,fins} => {type=pez}",0.131313131313131,1,7.61538461538461,13
"{eggs,aquatic,fins,tail} => {type=pez}",0.131313131313131,1,7.61538461538461,13
